,Name,Id,height,weight,PG,SG,SF,PF,CE,salary,shoots,debut,birth,experience
0,Jordan Bell,belljo01,203,97,-1,-1,-1,-1,1,815615.0,Right,"October 17, 2017","January 7, 1995",5 years
1,Chris Boucher,bouchch01,206,90,-1,-1,-1,1,2,,Right,"March 14, 2018","January 11, 1993",5 years
2,Omri Casspi,casspom01,206,102,-1,-1,1,2,-1,1471382.0,Right,"October 28, 2009","June 22, 1988",10 years
3,Quinn Cook,cookqu01,185,81,1,-1,-1,-1,-1,100000.0,Right,"February 27, 2017","March 23, 1993",5 years
4,Stephen Curry,curryst01,188,83,1,-1,-1,-1,-1,34682550.0,Right,"October 28, 2009","March 14, 1988",13 years
5,Kevin Durant,duranke01,208,108,-1,3,1,2,-1,25000000.0,Right,"October 31, 2007","September 29, 1988",14 years
6,Draymond Green,greendr01,198,104,-1,-1,2,1,-1,16400000.0,Right,"October 31, 2012","March 4, 1990",10 years
7,Andre Iguodala,iguodan01,198,97,-1,2,1,-1,-1,14814815.0,Right,"November 3, 2004","January 28, 1984",18 years
8,Damian Jones,jonesda03,211,111,-1,-1,-1,-1,1,1312611.0,Right,"December 10, 2016","June 30, 1995",6 years
9,Shaun Livingston,livinsh01,201,87,1,2,-1,-1,-1,7692308.0,Right,"November 3, 2004","September 11, 1985",14 years
10,Kevon Looney,looneke01,206,100,-1,-1,-1,2,1,1471382.0,Right,"January 27, 2016","February 6, 1996",7 years
11,Patrick McCaw,mccawpa01,201,82,-1,1,2,-1,-1,1312611.0,Right,"October 25, 2016","October 25, 1995",5 years
12,JaVale McGee,mcgeeja01,213,122,-1,-1,-1,-1,1,1471382.0,Right,"October 29, 2008","January 19, 1988",14 years
13,Zaza Pachulia,pachuza01,211,122,-1,-1,-1,-1,1,3477600.0,Right,"November 5, 2003","February 10, 1984",16 years
14,Klay Thompson,thompkl01,198,97,-1,1,-1,-1,-1,17826150.0,Right,"December 25, 2011","February 8, 1990",9 years
15,David West,westda01,206,113,-1,-1,3,1,2,1471382.0,Right,"October 29, 2003","August 29, 1980",15 years
16,Nick Young,youngni01,201,95,-1,1,-1,-1,-1,5192000.0,Right,"October 31, 2007","June 1, 1985",12 years
17,Ryan Anderson,anderry01,206,108,-1,-1,-1,1,2,19578455.0,Right,"October 29, 2008","May 6, 1988",12 years
18,Trevor Ariza,arizatr01,203,97,-1,2,1,-1,-1,7420912.0,Right,"November 3, 2004","June 30, 1985",18 years
19,Tarik Black,blackta01,206,113,-1,-1,-1,-1,1,3290000.0,Right,"October 28, 2014","November 22, 1991",4 years
