,Name,Id,height,weight,PG,SG,SF,PF,CE,salary,shoots,debut,birth,experience
0,Malik Beasley,beaslma01,193,84,-1,1,-1,-1,-1,35651373.0,Right,"November 5, 2016","November 26, 1996",6 years
1,Patrick Beverley,beverpa01,185,81,1,2,-1,-1,-1,65026034.0,Right,"January 15, 2013","July 12, 1988",10 years
2,Leandro Bolmaro,bolmale01,198,90,-1,1,2,-1,-1,2353320.0,Right,"October 20, 2021","September 11, 2000",1 year
3,Anthony Edwards,edwaran01,193,102,-1,1,-1,-1,-1,20002920.0,Right,"December 23, 2020","August 5, 2001",2 years
4,Nathan Knight,knighna01,208,114,-1,-1,-1,1,-1,0.0,Right,"December 23, 2020","September 20, 1997",2 years
5,Jake Layman,laymaja01,203,94,-1,-1,1,-1,-1,14740817.0,Right,"November 1, 2016","March 7, 1994",6 years
6,Jaden McDaniels,mcdanja02,206,83,-1,-1,-1,1,-1,4028040.0,Right,"December 27, 2020","September 29, 2000",2 years
7,Jordan McLaughlin,mclaujo01,180,83,1,-1,-1,-1,-1,2000000.0,Right,"November 6, 2019","April 9, 1996",3 years
8,Greg Monroe,monrogr01,211,120,-1,-1,-1,2,1,76429132.0,Left,"October 30, 2010","June 4, 1990",10 years
9,Jaylen Nowell,nowelja01,193,91,-1,1,-1,-1,-1,4700602.0,Right,"November 6, 2019","July 9, 1999",3 years
10,Josh Okogie,okogijo01,193,96,-1,1,-1,-1,-1,11430344.0,Right,"October 20, 2018","September 1, 1998",4 years
11,Taurean Prince,princta02,201,98,-1,-1,2,1,-1,35999666.0,Right,"October 27, 2016","March 22, 1994",6 years
12,Naz Reid,reidna01,206,119,-1,-1,-1,-1,1,4198912.0,Right,"December 8, 2019","August 26, 1999",3 years
13,D'Angelo Russell,russeda01,193,87,1,-1,-1,-1,-1,108965728.0,Left,"October 28, 2015","February 23, 1996",7 years
14,Chris Silva,silvach01,203,106,-1,-1,-1,1,-1,2464549.0,Right,"October 23, 2019","September 19, 1996",3 years
15,Karl-Anthony Towns,townska01,211,112,-1,-1,-1,-1,1,114123435.0,Right,"October 28, 2015","November 15, 1995",7 years
16,Jarred Vanderbilt,vandeja01,206,97,-1,-1,-1,1,-1,7919177.0,Left,"January 25, 2019","April 3, 1999",4 years
17,McKinley Wright IV,wrighmc01,183,88,1,-1,-1,-1,-1,0.0,Right,"October 20, 2021","October 25, 1998",1 year
18,Steven Adams,adamsst01,211,120,-1,-1,-1,-1,1,128833174.0,Right,"October 30, 2013","July 20, 1993",9 years
19,Santi Aldama,aldamsa01,211,101,-1,-1,-1,1,-1,1994520.0,Right,"October 27, 2021","January 10, 2001",1 year
20,Kyle Anderson,anderky01,206,104,-1,-1,1,2,-1,42736643.0,Right,"November 6, 2014","September 20, 1993",8 years
21,Desmond Bane,banede01,196,97,-1,1,-1,-1,-1,3969600.0,Right,"December 23, 2020","June 25, 1998",2 years
22,Dillon Brooks,brookdi01,201,102,-1,2,1,-1,-1,27412377.0,Right,"October 18, 2017","January 22, 1996",5 years
23,Shaq Buchanan,buchash01,190,86,-1,1,-1,-1,-1,53176.0,Right,"December 26, 2021","January 30, 1997",1 year
24,Brandon Clarke,clarkbr01,203,97,-1,-1,-1,1,-1,7808640.0,Right,"October 23, 2019","September 19, 1996",3 years
25,Jarrett Culver,culveja01,198,88,-1,1,-1,-1,-1,18313080.0,Right,"October 23, 2019","February 20, 1999",3 years
26,Jaren Jackson Jr.,jacksja02,211,109,-1,-1,-1,2,1,29280440.0,Right,"October 17, 2018","September 15, 1999",4 years
27,DaQuan Jeffries,jeffrda01,196,104,-1,1,-1,-1,-1,1541627.0,Right,"November 15, 2019","August 30, 1997",3 years
28,Tyus Jones,jonesty01,183,88,1,-1,-1,-1,-1,30502295.0,Right,"November 10, 2015","May 10, 1996",7 years
29,John Konchar,konchjo01,196,95,-1,1,-1,-1,-1,4300000.0,Right,"November 9, 2019","March 22, 1996",3 years
30,Dakota Mathias,mathida01,193,90,-1,1,-1,-1,-1,106352.0,Right,"December 27, 2020","July 11, 1995",2 years
31,De'Anthony Melton,meltode01,188,90,1,2,-1,-1,-1,20743540.0,Right,"October 22, 2018","May 28, 1998",4 years
